addr_of_building_in_chn,addr_of_building_in_eng,name_of_ocomm_in_chn,name_of_ocomm_in_eng
九龍黃大仙區龍池徑60號彩虹花園,"Chai Hung Villa, NO.60, LUNG CHI PATH, WONG TAI SIN, KOWLOON",彩虹花園業主委員會,CHOI HUNG VILLA OWNERS' COMMITTEE
新界大埔區新屋家村131-161號新麗花園1號屋,"NO 1, NO.131-161, SAN UK KA, SUNLIGHT GARDEN, TAI PO, NEW TERRITORIES",新麗花園業主委員會,SUNLIGHT GARDEN OWNERS' COMMITTEE
香港島南區鴨脷洲大街11號亨利閣,"Rousseau Heights, NO.11, MAIN STREET AP LEI CHAU, SOUTHERN, HONG KONG",亨利閣業主委員會,ROUSSEAU HEIGHTS OWNERS' COMMITTEE
香港島中西區奧卑利街15號,"NO.15, OLD BAILEY STREET, CENTRAL AND WESTERN, HONG KONG",15 奧卑利街業主委員會,15 OLD BAILEY STREET OWNERS' COMMITTEE
新界葵青區葵義路20號新葵芳花園A座,"BLOCK A, NEW KWAI FONG GARDENS, NO.20, KWAI YI ROAD, KWAI TSING, NEW TERRITORIES",新葵芳花園業主委員會,NEW KWAI FONG GARDEN OWNERS' COMMITTEE
九龍九龍城區亞皆老街250號聖露園,"ST. LUKE'S GARDEN, NO.250, ARGYLE STREET, KOWLOON CITY, KOWLOON",聖露園業主委員會,ST. LUKE'S GARDEN OWNERS' COMMITTEE
九龍油尖旺區KIL11118衛理道18號君頤峰第一座,"Parc Palais Block 1, NO.18, WYLIE ROAD, 11118, KIL, PARC PALAIS, YAU TSIM MONG, KOWLOON",君頤峰業主委員會,PARC PALAIS OWNERS' COMMITTEE
新界大埔區泰亨中心圍128號俊亨豪園一座,"BLOCK 1, BLOCK 1, NO.128, TAI HANG CHUNG SUM WAI, TAI HANG, PRINCE GARDEN, TAI PO, NEW TERRITORIES",俊亨豪苑業主委員會,OWNERS' COMMITTEE OF PRINCE GARDEN OWNERS' COMMITTEE
九龍深水埗區長沙灣道226-242號 G/F 至 3/F深之都,"Metro Sham Shui, G/F TO 3/F, 226-242 CHEUNG SHA WAN ROAD, SHAM SHUI PO, KOWLOON",深の都商場業主委員會,
新界北區聯昌街2號思健園,"MINDSET PLACE, NO.2, LUEN CHEONG STREET, NORTH, NEW TERRITORIES",新生會企業有限公司業主委員會,NEW LIFE SUPPORT ENTERPRISES LIMITED OWNERS' COMMITTEE
新界葵青區KCTL467和宜合道33號雍雅軒第二座,"The Apex Tower 2, NO.33, WO YI HOP ROAD, 467, KCTL, THE APEX, KWAI TSING, NEW TERRITORIES",雍雅軒業主委員會,THE APEX OWNERS' COMMITTEE
九龍油尖旺區彌敦道111-181號栢麗購物大道,"PARK LANE SHOPPER'S BOULEVARD, NO.111-181, NATHAN ROAD, YAU TSIM MONG, KOWLOON",栢麗購物大道業主委員會,PARK LANE SHOPPER'S BOULEVARD OWNERS' COMMITTEE
新界荃灣區青山公路 - 荃灣段611-619號東南工業大廈,"SOUTHEAST INDUSTRIAL BUILDING, NO.611-619, CASTLE PEAK ROAD - TSUEN WAN, TSUEN WAN, NEW TERRITORIES",東南工業大廈業主委員會,SOUTHEAST INDUSTRIAL BUILDING OWNERS' COMMITTEE
九龍油尖旺區花園街19號花園廣場,"Fa Yuen Plaza, NO.19, FA YUEN STREET, YAU TSIM MONG, KOWLOON",花園廣場業主委員會,FA YUEN PLAZA OWNERS' COMMITTEE
九龍油尖旺區河內道18號名鑄,"The Masterpiece, NO.18, HANOI ROAD, YAU TSIM MONG, KOWLOON",名鑄業主委員會,THE MASTERPIECE OWNERS' COMMITTEE
九龍油尖旺區科學館道14號新文華中心A座,"BLOCK A, NEW MANDARIN PLAZA, NO.14, SCIENCE MUSEUM ROAD, YAU TSIM MONG, KOWLOON",新文華中心業主委員會,NEW MANDARIN PLAZA OWNERS' COMMITTEE
九龍油尖旺區KIL11162櫻桃街38號海桃灣海桃灣第一座,"Florient Rise Tower 1, NO.38, CHERRY STREET, 11162, KIL, FLORIENT RISE, YAU TSIM MONG, KOWLOON",海桃灣業主委員會,FLORIENT RISE OWNERS' COMMITTEE
九龍油尖旺區廣東道188號港景峯,"NO.188, CANTON ROAD, THE VICTORIA TOWERS, YAU TSIM MONG, KOWLOON",港景峯業主委員會,THE VICTORIA TOWERS ESTATE OWNERS' COMMITTEE
九龍油尖旺區西洋菜街南2A-H號銀城廣場,"GINZA PLAZA, NO.2A-H, SAI YEUNG CHOI STREET SOUTH, YAU TSIM MONG, KOWLOON",銀城廣場業主委員會,GINZA PLAZA OWNERS' COMMITTEE
九龍油尖旺區覺士道9號嘉文花園第一座,"Tower 1, NO.9, COX'S ROAD, CARMEN'S GARDEN, YAU TSIM MONG, KOWLOON",嘉文花園業主委員會,CARMEN'S GARDEN OWNERS' COMMITTEE
九龍油尖旺區上海街638號旺角海景中心,"Mongkok Harbour Centre, NO.638, SHANGHAI STREET, YAU TSIM MONG, KOWLOON",旺角海景中心業主委員會,MONGKOK HARBOUR CENTRE OWNERS' COMMITTEE
九龍油尖旺區KIL11100窩打老道8號窩打老道8號第一座,"Tower 1, NO.8, WATERLOO ROAD, 11100, KIL, 8 WATERLOO ROAD, YAU TSIM MONG, KOWLOON",窩打老道8號業主委員會,8 WATERLOO ROAD OWNERS' COMMITTEE
九龍油尖旺區西洋菜南街14-24號榮華大廈,"WING WAH BUILDING, NO.14-24, SAI YEUNG CHOI SOUTH STREET, YAU TSIM MONG, KOWLOON",荷李活購物中心業主委員會,HOLLYWOOD SHOPPING CENTRE OWNERS' COMMITTEE
九龍黃大仙區彩虹道242號采頤花園第一座,"Rhythm Garden Block 1, NO.242, CHOI HUNG ROAD, RHYTHM GARDEN, WONG TAI SIN, KOWLOON",采頤花園業主委員會,RHYTHM GARDEN OWNERS' COMMITTEE
九龍黃大仙區龍蟠街1-3號悅庭軒第一座,"Bel Air Heights Block 1, NO.1-3, LUNG POON STREET, BEL AIR HEIGHTS, WONG TAI SIN, KOWLOON",悅庭軒業主委員會,BEL AIR HEIGHTS OWNERS' COMMITTEE
九龍黃大仙區龍蟠街3號星河明居星河明居A座,"Galaxia Tower A, GALAXIA, NO.3, LUNG POON STREET, WONG TAI SIN, KOWLOON",星河明居暨荷里活廣場業主委員會,THE OWNERS' COMMITTEE OF GALAXIA & PLAZAHOLLYWOOD
九龍黃大仙區豐盛街63號曉暉花園第一座,"Scenic View Block 1, NO.63, FUNG SHING STREET, SCENIC VIEW, WONG TAI SIN, KOWLOON",曉暉花園業主委員會,SCENIC VIEW OWNERS' COMMITTEE
九龍黃大仙區寧遠街9號越秀廣場,"NO.9, NING YUEN STREET, YUE XIU PLAZA, WONG TAI SIN, KOWLOON",越秀廣場業主委員會,THE OWNERS' COMMITTEE OF YUE XIU PLAZA
九龍深水埗區偉智街38號福田大廈,"Fook Tin Building, NO.38, WAI CHI STREET, SHAM SHUI PO, KOWLOON",褔田大廈業主委員會,FOOK TIN BUILDING OWNERS' COMMITTEE
新界離島區慶東街1號東堤灣畔第一座,"Tung Chung Crescent Block 1, NO.1, HING TUNG STREET, TUNG CHUNG CRESCENT, ISLANDS, NEW TERRITORIES",東堤灣畔住宅業主附屬委員會,TUNG CHUNG CRESCENT RESIDENTIAL OWNERS' SUB-COMMITTEE
新界離島區明翠徑1號愉景灣觀星樓,"Starview, NO.1, PARKRIDGE CRESCENT, DISCOVERY BAY, ISLANDS, NEW TERRITORIES",明翠台村業主委員會,PARKRIDGE VILLAGE OWNERS' COMMITTEE
"新界離島區畔山徑23號愉景灣,畔峰觀柏樓","Pine View, NO.23, MIDDLE LANE, DISCOVERY BAY, MIDVALE VILLAGE, ISLANDS, NEW TERRITORIES",畔峰村業主委員會,MIDVALE VILLAGE OWNERS' COMMITTEE
新界離島區愉景灣道1號康慧台康頤閣,"Glamour Court, NO.1, DISCOVERY BAY ROAD, HILLGROVE VILLAGE, ISLANDS, NEW TERRITORIES",康慧台村業主委員會,HILLGROVE VILLAGE OWNERS' COMMITTEE
新界離島區寶峰徑2號愉景灣寶峰寶珊閣,"Coral Court, NO.2, PARKVALE DRIVE, DISCOVERY BAY, ISLANDS, NEW TERRITORIES",寶峰村業主委員會,PARKVALE VILLAGE OWNERS' COMMITTEE
新界離島區蘅暉徑1號蘅峰旭暉閣,"Jovial Court, NO.1, CAPEVALE DRIVE, PENINSULA VILLAGE, ISLANDS, NEW TERRITORIES",蘅峰村業主委員會,PENINSULA VILLAGE OWNERS' COMMITTEE
新界離島區愉景灣道7號頤峰靖山閣,"GREENERY COURT, NO.7, DISCOVERY BAY ROAD, GREENVALE VILLAGE, ISLANDS, NEW TERRITORIES",頤峰村業主委員會,GREENVALE VILLAGE OWNERS' COMMITTEE
新界離島區廣場徑8-12號愉景廣場,"DISCOVERY BAY PLAZA, NO.8-12, PLAZA LANE, ISLANDS, NEW TERRITORIES",愉景廣場村業主委員會,DISCOVERY BAY PLAZA VILLAGE OWNERS' COMMITTEE
新界離島區海堤徑28號海堤居海堤閣,"Costa Court, NO.28, COSTA AVENUE, LA COSTA, ISLANDS, NEW TERRITORIES",海堤居村業主委員會,LA COSTA VILLAGE OWNERS' COMMITTEE
新界離島區海寧徑12號海寧居海愉閣,"Vista Court, NO.12, VISTA AVENUE, LA VISTA, ISLANDS, NEW TERRITORIES",海寧居村業主委員會,LA VISTA VILLAGE OWNERS' COMMITTEE
新界離島區璧如徑1號璧如臺,"NO.1, BIJOU DRIVE, BIJOU HAMLET, ISLANDS, NEW TERRITORIES",璧如臺村業主委員會,BIJOU HAMLET VILLAGE OWNERS' COMMITTEE
新界離島區海藍徑12號海藍居海藍閣,"SERENE COURT, NO.12, SERENE AVENUE, LA SERENE, ISLANDS, NEW TERRITORIES",海藍居村業主委員會,LA SERENE VILLAGE OWNERS' COMMITTEE
新界離島區愉景灣道25號時峰一座,"BLOCK I, BLOCK I, NO.25, DISCOVERY BAY ROAD, NEO HORIZON, ISLANDS, NEW TERRITORIES",時峰村業主委員會,NEO HORIZON VILLAGE OWNERS' COMMITTEE
新界離島區梅窩碼頭路18A號卓濤軒,"SCENIC CREST, NO.18A, MUI WO FERRY PIER ROAD, ISLANDS, NEW TERRITORIES",卓濤軒業主委員會,SCENIC CREST OWNERS' COMMITTEE
九龍九龍城區北帝街73號勝裕閣,"RICH COURT, NO.73, PAK TAI STREET, KOWLOON CITY, KOWLOON",勝裕閣業主委員會,RICH COURT OWNERS' COMMITTEE
九龍九龍城區牧愛街38號雅利德樺臺,"ELLERY TERRACE, NO.38, GOOD SHEPHERD STREET, KOWLOON CITY, KOWLOON",雅利德樺臺業主委員會,ELLERY TERRACE OWNERS' COMMITTEE
九龍九龍城區何文田山道11-15A號仁禮花園A座,"THE CRESENT BLOCK A, NO.11-15A, HOMANTIN HILL ROAD, THE CRESENT, KOWLOON CITY, KOWLOON",仁禮花園業主委員會,THE CRESENT OWNERS' COMMITTEE
九龍九龍城區衙前圍道168號怡德花園G 1座,"BLOCK G1, BLOCK G1, NO.168, NGA TSIN WAI ROAD, TANG COURT, KOWLOON CITY, KOWLOON",怡德花園業主委員會,TANG COURT OWNERS' COMMITTEE
九龍九龍城區廣播道63號星輝豪庭A座,"BLOCK A, BLOCK A, NO.63, BROADCAST DRIVE, PENINSULA HEIGHTS, KOWLOON CITY, KOWLOON",星輝豪庭業主委員會,PENINSULA HEIGHTS OWNERS' COMMITTEE
九龍九龍城區窩打老道158-160號,"NO.158-160, WATERLOO ROAD, KOWLOON CITY, KOWLOON",窩打老道158-160 號業主委員會,158-160 WATERLOO ROAD OWNERS' COMMITTEE
九龍九龍城區漆咸道北397-399號東貿商業大廈,"CHATHAM COMMERCIAL BUILDING, NO.397-399, CHATHAM ROAD NORTH, KOWLOON CITY, KOWLOON",東貿商業大廈業主委員會,CHATHAM COMMERCIAL BUILDING OWNERS' COMMITTEE
新界大埔區泰亨1號泰亨豪園一座,"BLOCK 1, BLOCK 1, NO.1, TAI HANG, TAI HANG GARDENS, TAI PO, NEW TERRITORIES",泰亨豪園業主委員會,TAI HANG GARDENS OWNERS' COMMITTEE
新界大埔區寶湖道18號麗湖閣,"Lagoon Court, NO.18, PLOVER COVE ROAD, TAI PO, NEW TERRITORIES",麗湖閣業主委員會,LAGOON COURT OWNERS COMMITTEE
新界大埔區翠樂街6號菁泉雅居A座,"BLOCK A, LA FONTAINE, NO.6, CHUI LOK STREET, TAI PO, NEW TERRITORIES",菁泉雅居業主委員會,LA FONTAINE OWNERS' COMMITTEE
新界大埔區大埔頭路18號太湖花園第一期第一座,"Serenity Park I Block 1, NO.18, TAI PO TAU ROAD, SERENITY PARK I, TAI PO, NEW TERRITORIES",太湖花園第一期業主委員會,SERENITY PARK (PHASE 1) GARDEN PHASE I OWNERS' COMMITTEE
新界大埔區大埔頭徑1號太湖花園第二期第十六座,"Serenity Park II Block 16, NO.1, TAI PO TAU DRIVE, SERENITY PARK II, TAI PO, NEW TERRITORIES",太湖花園第二期業主委員會,SERENITY PARK (PHASE 2) GARDEN PHASE II OWNERS' COMMITTEE
新界大埔區大埔公路4283號翡翠花園1號,"NO 1, NO.4283, TAI PO ROAD, SAVANNA GARDEN, TAI PO, NEW TERRITORIES",翡翠花園業主委員會,SAVANNA GARDEN OWNERS' COMMITTEE
新界大埔區安邦路9號大埔中心第一座,"Tai Po Centre Block 1, NO.9, ON PONG ROAD, TAI PO CENTRE, TAI PO, NEW TERRITORIES",大埔中心業主委員會,TAI PO CENTRE OWNERS' COMMITTEE
新界大埔區馬窩路11號御峰苑第十八座,"Dynasty View Block 18, NO.11, MA WO ROAD, DYNASTY VIEW, TAI PO, NEW TERRITORIES",御峰苑業主委員會,DYNASTY VIEW OWNERS' COMMITTEE
新界大埔區馬窩路9號御峰豪園第二十五座,"Grand Dynasty View Block 25, NO.9, MA WO ROAD, GRAND DYNASTY VIEW, TAI PO, NEW TERRITORIES",御峰豪園業主委員會,GRAND DYNASTY VIEW OWNERS' COMMITTEE
"新界大埔區馬窩路8號新峰花園,第二期新峰花園二期第一座","Classical Gardens II Block 1, NO.8, MA WO ROAD, CLASSICAL GARDENS, PHASE II, TAI PO, NEW TERRITORIES",新峰花園第2期業主委員會,CLASSICAL GARDENS PHASE 2 OWNERS' COMMITTEE
"新界大埔區馬窩路10號新峰花園,第一期新峰花園一期第九座","Classical Gardens I Block 9, NO.10, MA WO ROAD, CLASSICAL GARDENS, PHASE I, TAI PO, NEW TERRITORIES",新峰花園第1期業主委員會,CLASSICAL GARDENS PHASE 1 OWNERS' COMMITTEE
香港南區南灣坊33號南灣花園A座,"BLOCK A, SOUTH BAY GARDEN, NO.33, SOUTH BAY CLOSE, SOUTHERN, HONG KONG",南灣花園業主委員會,SOUTH BAY GARDEN OWNERS' COMMITTEE
香港島南區赤柱大街118號金東閣,"Princeton Court, NO.118, STANLEY MAIN STREET, SOUTHERN, HONG KONG",金東閣業主委員會,PRINCETON COURT OWNERS' COMMITTEE
香港南區沙宣道42號海日樓第1座,"HOUSE 1, SEASCAPE, NO.42, SASSOON ROAD, SOUTHERN, HONG KONG",海日樓業主委員會,SEASCAPE OWNERS' COMMITTEE
香港島南區碧荔道51-53號雅鑾閣,"Albany Court, NO.51-53, BISNEY ROAD, SOUTHERN, HONG KONG",雅鑾閣業主委員會,ALBANY COURT OWNERS' COMMITTEE
香港島南區金粟街15號春暉園,"NO.15, CONSORT RISE, SOUTHERN, HONG KONG",春暉園業主委員會,CHUN FA YUEN OWNERS' COMMITTEE
香港島南區域多利道200號趙苑A1 座,"BLOCK A1, BLOCK A1, NO.200, VICTORIA ROAD, VILLA CECIL, SOUTHERN, HONG KONG",趙苑業主委員會,VILLACECIL OWNERS' COMMITTEE
香港島南區成都道38號利港中心,"Port Centre, NO.38, CHENGTU ROAD, SOUTHERN, HONG KONG",利港中心業主委員會,PORT CENTRE OWNERS' COMMITTEE
九龍觀塘區臨興街32號美羅中心,"Metro Centre, NO.32, LAM HING STREET, KWUN TONG, KOWLOON",美羅中心業主委員會,METRO CENTRE OWNERS' COMMITTEE
九龍觀塘區偉業街33號德福花園A1座,"BLOCK A1, TELFORD GARDENS, NO.33, WAI YIP STREET, KWUN TONG, KOWLOON",德福花園業主委員會,TELFORD GARDENS OWNERS' COMMITTEE
九龍觀塘區牛頭角道77號淘大花園A座,"BLOCK A, AMOY GARDENS, NO.77, NGAU TAU KOK ROAD, KWUN TONG, KOWLOON",淘大花園業主委員會（第一期）,AMOY GARDENS OWNERS COMMITTEE (PHASE 1)
九龍觀塘區牛頭角道77號淘大花園H座,"BLOCK H, AMOY GARDENS, NO.77, NGAU TAU KOK ROAD, KWUN TONG, KOWLOON",淘大花園業主委員會（第2期）,AMOY GARDENS OWNERS COMMITTEE (PHASE 2)
九龍觀塘區牛頭角道77號淘大花園L座,"BLOCK L, AMOY GARDENS, NO.77, NGAU TAU KOK ROAD, KWUN TONG, KOWLOON",淘大花園業主委員會（第3期）,AMOY GARDENS OWNERS COMMITTEE (PHASE 3)
九龍觀塘區牛頭角道77號淘大花園Q座,"BLOCK Q, AMOY GARDENS, NO.77, NGAU TAU KOK ROAD, KWUN TONG, KOWLOON",淘大花園業主委員會（第四期）,AMOY GARDENS OWNERS COMMITTEE (PHASE 4)
九龍觀塘區開源道62號駱駝漆大廈第一座,"Camel Paint Building Block I, NO.62, HOI YUEN ROAD, CAMEL PAINT BUILDING, KWUN TONG, KOWLOON",駱駝漆大廈第一、二座業主委員會,CAMEL PAINT BUILDING BLOCK 1 & 2 OWNERS' COMMITTEE
九龍觀塘區興業街14號永興工業大廈,"Wing Hing Industrial Building, NO.14, HING YIP STREET, KWUN TONG, KOWLOON",永興工業大廈業主委員會,WING HING INDUSTRIAL BUILDING OWNERS' COMMITTEE
九龍觀塘區創業街36號華基中心,"Ricky Centre, NO.36, CHONG YIP STREET, KWUN TONG, KOWLOON",華基中心業主委員會,RICKY CENTRE OWNERS' COMMITTEE
九龍觀塘區麗港街39號麗港城第一座,"Laguna City Block 1, NO.39, LAGUNA STREET, LAGUNA CITY, KWUN TONG, KOWLOON",麗港城 (第一、二、四期)業主委員會,"LAGUNA CITY (PHASE I, II, IV) OWNERS' COMMITTEE"
九龍觀塘區麗港西街4號麗港城 (第三期)第三十二座,"BLOCK 32, PHASE III, BLOCK 32, NO.4, SOUTH LAGUNA STREET, LAGUNA CITY (PHASE III), KWUN TONG, KOWLOON",麗港城 (第三期)業主委員會,LAGUNA CITY (PHASE III) OWNERS' COMMITTEE
九龍觀塘區匯景道8號滙景花園第一座,"Sceneway Garden Block 1, NO.8, SCENEWAY ROAD, SCENEWAY GARDEN, KWUN TONG, KOWLOON",匯景花園業主委員會,SCENEWAY GARDEN OWNERS' COMMITTEE
新界北區一鳴路15號碧湖花園第一座,"BLOCK 1, BLOCK 1, NO.15, YAT MING ROAD, AVON PARK, NORTH, NEW TERRITORIES",碧湖花園業主委員會,AVON PARK OWNERS' COMMITTEE
新界北區和睦路9號海聯廣場(商場),"UNION PLAZA (SHOPPING CENTRE), NO.9, WO MUK ROAD, UNION PLAZA, NORTH, NEW TERRITORIES",海聯廣場商場業主委員會,UNION PLAZA (SHOPPING CENTRE) OWNERS' COMMITTEE
新界北區和睦路9號海聯廣場第一座,"TOWER 1, TOWER 1, NO.9, WO MUK ROAD, UNION PLAZA, NORTH, NEW TERRITORIES",海聯廣場業主委員會,UNION PLAZA OWNERS' COMMITTEE
新界北區龍運路8號新都廣場第一座,"BLOCK 1, BLOCK 1, NO.8, LUNG WAN STREET, METROPOLIS PLAZA, NORTH, NEW TERRITORIES",新都廣場業主委員會,METROPOLIS PLAZA OWNERS' COMMITTEE
新界北區智昌路3號上水中心第一座,"BLOCK 1, BLOCK 1, NO.3, CHI CHEONG ROAD, SHEUNG SHUI CENTRE, NORTH, NEW TERRITORIES",上水中心業主委員會,SHEUNG SHUI CENTRE OWNERS' COMMITTEE
新界北區天平路33號奕翠園第一座,"BLOCK 1, BLOCK 1, NO.33, TIN PING ROAD, WOODLAND CREST, NORTH, NEW TERRITORIES",奕翠園業主委員會,WOODLAND CREST OWNERS' COMMITTEE
新界西貢區運亨路1號新都城第一期第一座,"TOWER 1, PHASE I, Metro City Phase 1 Block 1, NO.1, WAN HANG ROAD, METRO CITY PHASE I, SAI KUNG, NEW TERRITORIES",新都城第一期業主委員會,OWNERS' COMMITTEE OF METRO CITY (PHASE I)
新界西貢區貿業路8號都會豪庭（新都城第3期）都會豪庭第一座,"TOWER 1, The Metropolis Block 1, NO.8, MAU YIP ROAD, THE METROPOLIS, SAI KUNG, NEW TERRITORIES",都會豪庭業主委員會,OWNERS' COMMITTEE OF THE METROPOLIS
新界西貢區重華路8號東港城第1座,"BLOCK 1, East Point City Block 1, NO.8, CHUNG WA ROAD, EAST POINT CITY, SAI KUNG, NEW TERRITORIES",東港城業主委員會,OWNERS' COMMITTEE OF EAST POINT CITY
新界西貢區培成路18號第一座海悅豪園1座,"BLOCK 1, Maritime Bay Block 1, NO.18, PUI SHING ROAD, MARITIME BAY, SAI KUNG, NEW TERRITORIES",海悅豪園業主委員會,OWNERS' COMMITTEE OF MARITIME BAY
新界西貢區培成路8號第一座南豐廣場第1座,"BLOCK 1, Nan Fung Plaza Block 1, NO.8, PUI SHING ROAD, NAN FUNG PLAZA, SAI KUNG, NEW TERRITORIES",南豐廣場業主委員會,OWNERS' COMMITTEE OF NAN FUNG PLAZA
新界西貢區毓雅里7號富麗花園第1座,"BLOCK 1, Finery Park Block 1, NO.7, YUK NGA LANE, FINERY PARK, SAI KUNG, NEW TERRITORIES",富麗花園業主委員會,OWNERS' COMMITTEE OF FINERY PARK
新界西貢區欣景路8號新都城第二期第一座,"BLOCK 1, PHASE II, Metro City Phase 2 Block 1, NO.8, YAN KING ROAD, METRO CITY PHASE II, SAI KUNG, NEW TERRITORIES",新都城第二期業主委員會,OWNERS' COMMITTEE OF METRO CITY (PHASE II)
新界西貢區銀岬路18號夏威夷花園A4座,"HOUSE A4, Hawaii Garden Block A4, NO.18, SILVER CAPE ROAD, HAWAII GARDEN, SAI KUNG, NEW TERRITORIES",夏威夷花園業主委員會,OWENRS' COMMITTEE OF HAWAII GARDEN
新界西貢區DD215 LOT 1126翠塘路1號第一座翠塘花園第1座,"TOWER 1, Lakeside Garden Tower 1, NO.1, CHUI TONG ROAD, DD215 LOT 1126, LAKESIDE GARDEN, SAI KUNG, NEW TERRITORIES",翠塘花園業主委員會,OWNERS' COMMITTEE OF LAKESIDE GARDEN
新界荃灣區青山公路41-63號麗都花園1座,"BLOCK 1, LIDO GARDEN, NO.41-63, CASTLE PEAK ROAD, TSUEN WAN, NEW TERRITORIES",麗都花園業主委員會,LIDO GARDEN OWNERS' COMMITTEE
新界荃灣區龍騰路8號帝華軒第1座,"BLOCK 1, ROYAL SEA CREST, NO.8, LUNG TANG ROAD, TSUEN WAN, NEW TERRITORIES",帝華軒業主委員會,ROYAL SEA CREST OWNERS' COMMITTEE
新界荃灣區青山公路18號浪翠園第三期第七座,"Sea Crest Villa Phase 3 Block 7, NO.18, CASTLE PEAK ROAD, SEA CREST VILLA, PHASE 3, TSUEN WAN, NEW TERRITORIES",浪翠園 第三期業主委員會,"SEA CREST VILLA, PHASE 3 OWNERS' COMMITTEE"
新界荃灣區青山公路44號浪翠園第四期第十一座,"Sea Crest Villa Phase 4 Block 11, NO.44, CASTLE PEAK ROAD, SEA CREST VILLA, PHASE 4, TSUEN WAN, NEW TERRITORIES",浪翠園 第四期業主委員會,"SEA CREST VILLA, PHASE 4 OWNERS' COMMITTEE"
新界荃灣區大壩街4-30號荃灣廣場第1座,"BLOCK 1, TSUEN WAN PLAZA, NO.4-30, TAI PA STREET, TSUEN WAN, NEW TERRITORIES",荃灣廣場業主委員會,TSUEN WAN PLAZA OWNERS' COMMITTEE
新界荃灣區青山道263-275號力生廣場,"NO.263-275, CASTLE PEAK ROAD, FOO YU BUILDING, TSUEN WAN, NEW TERRITORIES",力生廣場業主委員會,LIK SANG PLAZA OWNERS' COMMITTEE
新界荃灣區大河道88號灣景廣場,"Skyline Plaza, NO.88, TAI HO ROAD, SKYLINE PLAZA, TSUEN WAN, NEW TERRITORIES",灣景廣場業主委員會,SKYLINE PLAZA OWNERS' COMMITTEE
新界荃灣區怡康街1-7號海濱花園海珠閣,"Hoi Chu Mansion, NO.1-7, YI HONG STREET, RIVIERA GARDENS, TSUEN WAN, NEW TERRITORIES",海濱花園業主委員會,RIVIERA GARDENS ESTATES OWNERS' COMMITTEE
新界荃灣區荃景圍84號荃景花園8座,"BLOCK 8, TSUEN KING GARDEN, NO.84, TSUEN KING CIRCUIT, TSUEN WAN, NEW TERRITORIES",荃景花園第2期業主委員會,TSUEN KING GARDEN PHASE 2 OWNERS' COMMITTEE
新界荃灣區青山公路荃灣段398號愉景新城1座,"BLOCK 1, DISCOVERY PARK, NO.398, CASTLE PEAK ROAD TSUEN WAN, TSUEN WAN, NEW TERRITORIES",愉景新城業主委員會,DISCOVERY PARK (RESIDENTIAL COMMITTEE) OWNERS' COMMITTEE
新界荃灣區青山公路荃灣段623號韻濤居A座,"TOWER A, SERENADE COVE, NO.623, CASTLE PEAK ROAD TSUEN WAN, TSUEN WAN, NEW TERRITORIES",韻濤居業主委員會,SERENADE COVE OWNERS' COMMITTEE
新界元朗區唐人新村屏康里DD121 LOT 2023號紫珊園,"Coral Garden, NO.DD121 LOT 2023, PING HONG LANE, TONG YAN SAN TSUEN, YUEN LONG, NEW TERRITORIES",紫珊園業主委員會,CORAL GARDEN OWNERS' COMMITTEE
新界元朗區洪水橋洪堤路2號錦珊園,"Coronet Court, NO.2, HUNG TAI ROAD, YUEN LONG, NEW TERRITORIES",錦珊園業主委員會,CORONET COURT OWNERS' COMMITTEE
新界元朗區唐人新村屏康里20號寶珊園,"Curio Court, NO.20, PING HONG LANE, TONG YAN SAN TSUEN, YUEN LONG, NEW TERRITORIES",寶珊園業主委員會,CURIO COURT OWNERS' COMMITTEE
新界元朗區屏山唐人新村孖峰嶺路18號叠翠軒,"Evergreen Place, NO.18, MA FUNG LING ROAD, TONG YAN SAN TSUEN, PING SHAN, YUEN LONG, NEW TERRITORIES",翠叠軒業主委員會,EVERGREEN PLACE OWNERS' COMMITTEE
新界元朗區屏山唐人新村孖峰嶺路39號瑋珊園,"Jasper Court, NO.39, MA FUNG LING ROAD, TONG YAN SAN TSUEN, PING SHAN, YUEN LONG, NEW TERRITORIES",瑋珊園業主委員會,JASPER COURT OWNERS' COMMITTEE
