estate_name,district_name,region_name,lat,lng,sold_under,year_of_completion,year_of_completion_raw,type_of_block,no_of_blocks,no_of_flats,name_of_block,gross_floor_area_of_flt,saleable_area_of_flats,initial_sale_price,owners_corporation,reg_management_office,property_management,carpark_management,court_website,further_information
Elegance Garden,Tai Po,New Territories,22.44446,114.16782,12A,1990,1990,Private Sector Participation Scheme,4,1060,Block 1 - Block 4,47 - 65,40 - 55,342900 - 580000,Formed,Tai Po North & Shatin District Tenancy Management Office (7) 2/F On Wo House Tai Wo Estate Tai Po N.T. Telephone: 2657 2808 Fax: 2657 8660,Appointed by Owners' Corporation,,,
Tak Nga Court,Tai Po,New Territories,22.44086,114.16577,13C,1992,1992,Trident,1,816,Tak Nga Court,46 - 64,35 - 49,392000 - 648500,Formed,Tai Po North & Shatin District Tenancy Management Office (7) 2/F On Wo House Tai Wo Estate Tai Po N.T. Telephone: 2657 2808 Fax: 2657 8660,Appointed by Owners' Corporation,,,
Tai Po Plaza,Tai Po,New Territories,22.45287,114.16994,6A,1985,1985,Private Sector Participation Scheme,5,1408,Yee Fai Court Yee Fu Court Yee Hing Court Yee Sing Court Yee Tak Court,41 - 53,34 - 45,156500 - 248800,Formed,Tai Po North & Shatin District Tenancy Management Office (7) 2/F On Wo House Tai Wo Estate Tai Po N.T. Telephone: 2657 2808 Fax: 2657 8660,Appointed by Owners' Corporation,,,
Ting Nga Court,Tai Po,New Territories,22.45493,114.16698,2B,1981,1981,Old-Cruciform,3,395,Nga Yin House Nga Man House Nga Kwan House,55 - 62,46 - 52,156800 - 209500,Formed,Tai Po North & Shatin District Tenancy Management Office (7) 2/F On Wo House Tai Wo Estate Tai Po N.T. Telephone: 2657 2808 Fax: 2657 8660,Appointed by Owners' Corporation,Hong Yip Service Company Ltd.,,
Yat Nga Court,Tai Po,New Territories,22.44285,114.16742,12B,1991,1991,Trident 4,2,1224,Yat Wing House Yat Yan House,46 - 70,34 - 52,295400 - 552200,Formed,Tai Po North & Shatin District Tenancy Management Office (7) 2/F On Wo House Tai Wo Estate Tai Po N.T. Telephone: 2657 2808 Fax: 2657 8660,Appointed by Owners' Corporation,,,
Hong Lam Court,Sha Tin,New Territories,22.38024,114.21755,11B,1990,1990,NCB,3,1050,Shan Lam House Yuen Lam House King Lam House,47 - 76,37 - 59,273500 - 555800,Formed,Tai Po North & Shatin District Tenancy Management Office (10) G/F Sha Kok Community Hall Sha Kok Estate Shatin Telephone : 2647 1311 Fax : 2637 5251,Appointed by Owners' Corporation,,,
Kwong Lam Court,Sha Tin,New Territories,22.38048,114.21577,10B 10C,1990,1990,Trident 4,3,1836,Hing Lam House Mau Lam House Fook Lam House,46 - 73,34 - 55,198400 - 421400,Formed,Tai Po North & Shatin District Tenancy Management Office (10) G/F Sha Kok Community Hall Sha Kok Estate Shatin Telephone : 2647 1311 Fax : 2637 5251,Appointed by Owners' Corporation,,,
Sui Wo Court,Sha Tin,New Territories,22.3939,114.19449,1 2A,1980,1980,Non-Standard,9,3501,Fung Yue House Fung Yat House Fung Lin House Hing Wan House Hing Sing House Hing On House Wing Mau House Wing Cheung House Wing Hing House,43 - 65,38 - 57,100200 - 252700,Formed,Tai Po North & Shatin District Tenancy Management Office (2) Market Podium Pok Hong Estate Shatin Telephone : 2648 1312 Fax : 2649 1648,Appointed by Owners' Corporation,Owned and operated by private corporation,,
Fung Shing Court,Sha Tin,New Territories,22.37117,114.18809,7A,1985,1985,Trident 2,3,2448,Wing Shing House Wah Shing House Fu Shing House,50 - 64,35 - 45,105200 - 186200,Formed,Tai Po North & Shatin District Tenancy Management Office (2) Market Podium Pok Hong Estate Shatin Telephone : 2648 1312 Fax : 2649 1648,Appointed by Owners' Corporation,,,
Ka Tin Court,Sha Tin,New Territories,22.3607,114.17299,9A,1988,1988,Flexi 3,6,1680,Ka Hong House Ka Kei House Ka Yin House Ka Wai House Ka Yee House Ka Wing House,53 - 57,43 - 46,254200 - 359400,Formed,Tai Po North & Shatin District Tenancy Management Office (2) Market Podium Pok Hong Estate Shatin Telephone : 2648 1312 Fax : 2649 1648,Appointed by Owners' Corporation,Owned and operated by private corporation,,
