cp_id,cp_state,district_id,address_en,address2_en,address_tc,address2_tc,address_sc,address2_sc,lat,lgt,waste_type,legend,accessibilty_notes,contact_en,contact_tc,contact_sc,openhour_en,openhour_tc,openhour_sc
288,Accepted,Kwai_Tsing,Tai Wong Ha Resite Village RCP,,大王下村垃圾收集站,,大王下村垃圾收集站,,22.352730,114.101100,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
309,Accepted,Kwai_Tsing,"Kau Wah Keng Sun Chuen Refuse Collection Point at Kau Wa Keng San Tsuen, Lai King Hill Road, Kwai Chung, N.T.",,九華徑新村垃圾收集站 ，葵涌荔景山路九華徑新村,,九华径新村垃圾收集站 ，葵涌荔景山路九华径新村,,22.344277,114.135619,"Metals,Paper,Plastic Bottle",Recycling Bins at Public Place,Note: For public use,,,,,,
314,Accepted,Kwai_Tsing,"Cheung Hang Village (Pump Station) Refuse Collection Point (KwT-23) at Near Pump Station, Cheung Hang Village",,長坑村（泵房）垃圾收集站 (KwT-23)，長坑村近泵房,,长坑村（泵房）垃圾收集站 (KwT-23)，长坑村近泵房,,22.346372,114.140490,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
317,Accepted,Kwai_Tsing,"Fung Shue Wo Resite Village Refuse Collection Point at Tsing Yu Street , Tsing Yi",,楓樹窩村垃圾收集站，青衣清譽街,,枫树窝村垃圾收集站，青衣清誉街,,22.354849,114.100855,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
323,Accepted,Kwai_Tsing,"Kau Wah Keng Old Tsuen, Lai King Hill Road",,荔景山路九華徑舊村,,荔景山路九华径旧村,,22.343850,114.137160,"Metals,Paper,Plastic Bottle",Recycling Bins at Public Place,Note: For public use,,,,,,
324,Accepted,Tuen_Mun,"Pavement of Shun Tat Street (outside No. 750, Shun Fung Wai)",,順達街行人路(在順風圍750號對出),,顺达街行人路(在顺风围750号对出),,22.424648,113.991080,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
325,Accepted,Tuen_Mun,At side of Bin site at Tong Hang Road (opposite to Ming Wong Garden),,塘亨路路邊垃圾桶站側(明煌花園對面),,塘亨路路边垃圾桶站侧(明煌花园对面),,22.413141,113.969319,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
326,Accepted,Tuen_Mun,Cul-de-sac of Yeung King Road (near parking space (opposite to the fiberglass refuse collection point)),,楊景路盡頭(近停車位(即纖維垃圾站對面)),,杨景路尽头(近停车位(即纤维垃圾站对面)),,22.395287,113.962854,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
327,Accepted,Tuen_Mun,Ka Choi Lane RCP,,嘉才里垃圾收集站,,嘉才里垃圾收集站,,22.369642,113.997542,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
334,Accepted,Tuen_Mun,Public Light Bus Terminus at So Kwun Wat (near Lee Uk Tsuen),,掃管笏(近李屋村)小巴總站,,扫管笏村路 (近灯柱FB2594),,22.376920,114.007350,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
338,Accepted,Tuen_Mun,At side of Tsing Yi Street RCP (near Castle Peak Villa),,青怡街垃圾收集站側(近青山別墅),,青怡街垃圾收集站侧（近青山别墅）,,22.365304,114.006028,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
339,Accepted,Tuen_Mun,Tsing Chuen Wai (1),,青磚圍(1),,青砖围(1),,22.422490,113.982960,"Metals,Paper,Plastics",Recycling Bins at Public Place,Note: For public use,,,,,,
