objectid,dataset_en,dataset_tc,name_en,address_en,name_tc,address_tc,search01_en,search01_tc,nsearch01_en,nsearch01_tc,nsearch02_en,nsearch02_tc,nsearch03_en,nsearch03_tc,nsearch04_en,nsearch04_tc,nsearch05_en,nsearch05_tc,nsearch06_en,nsearch06_tc,nsearch07_en,nsearch07_tc,nsearch08_en,nsearch08_tc,northing,easting,latitude,longitude,lastupdate
1,Waste Management Facilities,廢物處理設施,Chemical Waste Treatment Centre,"Tsing Yi, New Territories",化學廢物處理中心,新界青衣,CHEMICAL WASTE TREATMENT CENTRE,化學廢物處理中心,N.A.,N.A.,"100,000 tonnes chemical waste and clinical waste per year",每年10萬公噸化學廢物和醫療廢物,N.A.,N.A.,"Chemical waste reception :<br/>07:00 to 19:00 (every day except Sundays)<br/><br/>Clinical waste reception :<br/>Delivered by healthcare professionals - <br/>09:00 to 12:00 amd 13:00 to 16:30 (Mon - Fri, except public holidays)<br/>Delivered by clinical waste collector - <br/>09:00 to 21:00 (every day)",接收化學廢物:<br/>每日上午七時正至晚上七時正(星期日除外)<br/><br/>接收醫療廢物:<br/>由醫護專業人士送交的醫療廢物- <br/>星期一至星期五上午九時正至中午十二時正及下午一時正至下午四時三十分(公眾假期除外)<br/>由醫療廢物收集商送交的醫療廢物-<br/>每日上午九時正至晚上九時正,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,https://www.epd.gov.hk/epd/english/environmentinhk/waste/prob_solutions/chemical_cwtcintro.html,https://www.epd.gov.hk/epd/tc_chi/environmentinhk/waste/prob_solutions/chemical_cwtcintro.html,821285.4196908,829119.25739667,22.33059572,114.10748336,20210630121906
2,Waste Management Facilities,廢物處理設施,West New Territories (WENT) Landfill,"Nim Wan, Tuen Mun",新界西堆填區,屯門稔灣,STRATEGIC LANDFILL,策略性堆填區,61 Mm³,"6,100 萬立方米","about 6,400 tonnes per day (2020)","約每日 6,400 公噸 (2020 年)",N.A.,N.A.,08:00 to 20:00 (daily throughout the year),每天上午 08 時 00 分至晚上 20 時 00 分(年中無休),2472 3455,2472 3455,N.A.,N.A.,N.A.,N.A.,https://www.epd.gov.hk/epd/english/environmentinhk/waste/prob_solutions/msw_went.html,https://www.epd.gov.hk/epd/tc_chi/environmentinhk/waste/prob_solutions/msw_went.html,830866.57548648,811117.56545539,22.41694892,113.93259547,20210630121905
3,Waste Management Facilities,廢物處理設施,North Lantau Transfer Station (NLTS),"Siu Ho Wan, North Lantau",北大嶼山廢物轉運站,北大嶼山小蠔灣,REFUSE TRANSFER STATION,廢物轉運站,N.A.,N.A.,about 660 tonnes per day,每日平均約 660 公噸,N.A.,N.A.,7:30 to 23:30,上午 07 時 30 分至晚上 11 時 30 分,2984 1822,2984 1822,N.A.,N.A.,N.A.,N.A.,https://www.epd.gov.hk/epd/english/environmentinhk/waste/prob_solutions/msw_nlts.html,https://www.epd.gov.hk/epd/tc_chi/environmentinhk/waste/prob_solutions/msw_nlts.html,820019.13282774,817750.29447677,22.31907567,113.99714271,20210630121905
4,Waste Management Facilities,廢物處理設施,Outlying Islands Transfer Facilities (OITF) - Yung Shue Wan,Yung Shue Wan,離島廢物轉運設施 - 榕樹灣,榕樹灣,REFUSE TRANSFER STATION,廢物轉運站,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,7:00-18:30,7:00-18:30,2982 0563,2982 0563,N.A.,N.A.,N.A.,N.A.,https://www.epd.gov.hk/epd/english/environmentinhk/waste/prob_solutions/msw_oitf.html,https://www.epd.gov.hk/epd/tc_chi/environmentinhk/waste/prob_solutions/msw_oitf.html,809578.49306613,829320.7136107,22.22487557,114.10948948,20210630121904
5,Waste Management Facilities,廢物處理設施,Outlying Islands Transfer Facilities (OITF) - Ma Wan,"87 Pak Lam Road, Ma Wan",離島廢物轉運設施 - 馬灣,馬灣珀林路87號,REFUSE TRANSFER STATION,廢物轉運站,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,7:30-18:30,7:30-18:30,2986 3055,2986 3055,N.A.,N.A.,N.A.,N.A.,https://www.epd.gov.hk/epd/english/environmentinhk/waste/prob_solutions/msw_oitf.html,https://www.epd.gov.hk/epd/tc_chi/environmentinhk/waste/prob_solutions/msw_oitf.html,824059.9257552,824073.49457448,22.35562267,114.05848436,20210630121904
6,Waste Management Facilities,廢物處理設施,West Kowloon Transfer Station (WKTS),"West Kowloon Reclamation area, between the West Kowloon Expressway and Stonecutters Island",西九龍廢物轉運站,西九龍快速公路及昂船洲之間的西九龍填海區,REFUSE TRANSFER STATION,廢物轉運站,N.A.,N.A.,"about 2,700 tonnes per day","每日平均約 2,700 公噸",N.A.,N.A.,07:30 to 23:30,上午 07 時 30 分至晚上 11 時 30 分,3922 7000,3922 7000,N.A.,N.A.,N.A.,N.A.,https://www.epd.gov.hk/epd/english/environmentinhk/waste/prob_solutions/msw_wkts.html,https://www.epd.gov.hk/epd/tc_chi/environmentinhk/waste/prob_solutions/msw_wkts.html,821002.0,832536.0,22.32804707,114.14064945,20210630121903
7,Waste Management Facilities,廢物處理設施,North East New Territories (NENT) Landfill,"Ta Kwu Ling, New Territories",新界東北堆填區,新界打鼓嶺,STRATEGIC LANDFILL,策略性堆填區,35 Mm³,"3,500 萬立方米","about 6,000 tonnes per day (2020)","約每日 6,000 公噸 (2020 年)",N.A.,N.A.,"07:00 to19:00 (Refuse Transfer Station vehicles only, daily throughout the year)<br/>08 :00 to 18 :00 (all other vehicles, daily throughout the year)","每天上午 07 時 00 分至晚上 07 時 00 分 (只適用於廢物轉運站車輛,年中無休)<br/>每天上午 08 時 00 分至晚上 06 時 00 分 (適用於所有車輛,年中無休)",2674 6899,2674 6899,N.A.,N.A.,N.A.,N.A.,https://www.epd.gov.hk/epd/english/environmentinhk/waste/prob_solutions/msw_nent.html,https://www.epd.gov.hk/epd/tc_chi/environmentinhk/waste/prob_solutions/msw_nent.html,845054.66388561,835574.81649829,22.54525768,114.1701355,20210630121902
8,Waste Management Facilities,廢物處理設施,Outlying Islands Transfer Facilities (OITF) - Mui Wo,"35 Mui Wo Ferry Pier Road, Mui Wo, Lantau Island",離島廢物轉運設施 - 梅窩,大嶼山梅窩梅窩碼頭路35號,REFUSE TRANSFER STATION,廢物轉運站,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,7:30-18:30,7:30-18:30,2984 0930 / 2984 0735,2984 0930 / 2984 0735,N.A.,N.A.,N.A.,N.A.,https://www.epd.gov.hk/epd/english/environmentinhk/waste/prob_solutions/msw_oitf.html,https://www.epd.gov.hk/epd/tc_chi/environmentinhk/waste/prob_solutions/msw_oitf.html,813597.52670534,818606.47876825,22.26109381,114.00552344,20210630121902
9,Waste Management Facilities,廢物處理設施,Outlying Islands Transfer Facilities (OITF) - Sok Kwu Wan,Sok Kwu Wan,離島廢物轉運設施 - 索罟灣,索罟灣,REFUSE TRANSFER STATION,廢物轉運站,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,7:30-18:30,7:30-18:30,2982 8341,2982 8341,N.A.,N.A.,N.A.,N.A.,https://www.epd.gov.hk/epd/english/environmentinhk/waste/prob_solutions/msw_oitf.html,https://www.epd.gov.hk/epd/tc_chi/environmentinhk/waste/prob_solutions/msw_oitf.html,807688.0,831944.0,22.20781163,114.13493897,20210630121901
10,Waste Management Facilities,廢物處理設施,Integrated Waste Management Facilities Phase 1 (I·PARK1),"Artificial island adjacent to southwestern side of Shek Kwu Chau, N.T.",綜合廢物管理設施第一期 [源·島],毗鄰新界石鼓洲西南面的人工島,INTEGRATED WASTE MANAGEMENT FACILITIES,綜合廢物管理設施,,,,,"3,000 tonnes of municipal solid waste per day","每日3,000公噸都市固體廢物",tbc,tbc,5170 4722,5170 4722,,,enquiry@kszhjviwmf.com,enquiry@kszhjviwmf.com,https://www.epd.gov.hk/epd/english/environmentinhk/waste/prob_solutions/WFdev_IWMF.html,https://www.epd.gov.hk/epd/tc_chi/environmentinhk/waste/prob_solutions/WFdev_IWMF.html,805571.6387354,816661.21611485,22.18859384,113.98674842,20260213084954
